year,iso3,AFG,AGO,ALB,AND,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BIH,BLR,BLZ,BOL,BRA,BRB,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FRO,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,YEM,ZAF,ZMB,ZWE,ALL,donor_only,recip_only,location_name,net_donor,net_recip
1998,"AFG",0,0,0,0,0,0,0,0,0,-6498,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5300.629,0,0,-1503,0,0,0,0,0,0,0,0,-586.254,0,-7874.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-717,0,0,0,0,0,0,0,0,0,0,-31371.94,0,1,"Afghanistan",0,1
1999,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-953.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4020,0,0,-199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6340.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-937.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-109508,0,0,0,0,0,0,0,0,0,0,-121957.4,0,1,"Afghanistan",0,1
2000,"AFG",0,0,0,0,0,0,0,0,0,-2634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5828.504,-1719.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55.6,0,0,0,0,0,0,0,0,0,0,0,0,0,-315.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-226,0,0,0,0,0,0,0,-15102.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3540.9,-377.875,0,-278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-156798.6,0,0,0,0,0,0,0,0,0,0,-186999.1,0,1,"Afghanistan",0,1
2001,"AFG",0,0,0,0,0,0,0,0,0,-262,-344,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10120.64,-1950,0,0,0,0,0,0,0,0,0,0,0,0,0,-7123,0,0,-1174.398,0,0,0,0,0,0,0,0,-2773,0,0,0,0,-14937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-887.5,0,0,0,0,0,0,0,-2612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-746.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-200885.8,0,0,0,0,0,0,0,0,0,0,-243952.3,0,1,"Afghanistan",0,1
2002,"AFG",0,0,0,0,0,0,0,0,0,-9567,0,0,0,-2397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3387,-3586.4,0,0,0,0,0,0,0,0,0,0,0,0,0,-17965.8,0,0,-4158.108,0,0,0,0,0,0,0,0,-1293.3,0,-17691.3,-897,0,-8133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1458,0,0,0,0,0,0,0,-9808,0,0,0,0,0,-109,0,0,0,0,0,0,0,0,0,0,-1466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13288,-3809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-364031.6,0,0,0,0,0,0,0,0,0,0,-463045.6,0,1,"Afghanistan",0,1
2003,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-47,-9475.64,0,0,0,0,0,0,0,0,0,0,0,0,0,-9010,0,0,-4504,0,0,0,0,0,0,0,0,0,0,0,0,0,-4382.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9526,0,0,0,0,0,-13589.74,0,0,-36506.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85559.68,0,0,0,0,0,0,0,0,0,0,-173744.1,0,1,"Afghanistan",0,1
2004,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,-255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7334.149,-4257.2,0,0,0,0,0,0,0,0,0,0,0,0,0,-435,0,0,-3959.2,0,0,0,0,0,0,0,0,0,0,-9480,0,0,-6953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7696.55,-1203,0,0,0,0,-3131,0,0,-53876.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1101.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3134,-1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-105132.5,0,0,0,0,0,0,0,0,0,0,-210282,0,1,"Afghanistan",0,1
2005,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,-1286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4418.883,-1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-186.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17649.86,0,0,0,0,0,-943.3,0,0,-6214.382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2420.57,0,0,0,0,0,0,0,0,0,-638,0,0,0,0,-42.12,0,0,0,-1580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-167167.4,0,0,0,0,0,0,0,0,0,0,-204624.4,0,1,"Afghanistan",0,1
2006,"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,-1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3660,-7064.566,0,0,0,0,0,0,0,0,0,0,0,0,0,-1875,0,0,0,0,0,0,0,0,0,0,0,0,0,-3386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6977.136,-133,0,0,0,0,-4353,0,0,-5245.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1527.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-96738.66,0,0,0,0,0,0,0,0,0,0,-141484.1,0,1,"Afghanistan",0,1
2007,"AFG",0,0,0,0,0,0,0,0,0,-1257.439,0,0,0,-1405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21471.81,-763,0,0,0,0,0,0,0,0,0,0,0,0,0,-2544.97,0,0,-446,0,0,0,0,0,-1098.464,0,0,0,0,-1359.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15189,0,0,0,0,0,0,0,0,-5690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,-2553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7459,-3223.5,0,0,0,0,0,0,0,0,-275,0,0,0,0,-42.12,0,0,0,-2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-36,0,0,0,0,0,-111160.5,0,0,0,0,0,0,0,0,0,0,-178042.7,0,1,"Afghanistan",0,1
